,sum_sq,df,F,PR(>F)
C(lenguaje),0.32528571654325006,3.0,8566.903578900796,1.7398938622013403e-65
C(cantidad_multiplicacion),0.0001791372186333369,2.0,7.076784506860849,0.0020258345317035785
C(lenguaje):C(cantidad_multiplicacion),0.0005654333662999989,6.0,7.445782097138783,1.1429733762346834e-05
Residual,0.0006075207239999999,48.0,,
